artist,song,popularity,danceability,tempo,genre
Britney Spears,Oops!...I Did It Again,77,0.751,95.053,pop
blink-182,All The Small Things,79,0.434,148.726,"rock, pop"
Faith Hill,Breathe,66,0.529,136.859,"pop, country"
Bon Jovi,It's My Life,78,0.551,119.992,"rock, metal"
*NSYNC,Bye Bye Bye,65,0.614,172.656,pop
Sisqo,Thong Song,69,0.706,121.549,"hip hop, pop, R&B"
Eminem,The Real Slim Shady,86,0.949,104.504,hip hop
Robbie Williams,Rock DJ,68,0.708,103.035,"pop, rock"
Destiny's Child,Say My Name,75,0.713,138.009,"pop, R&B"
Modjo,Lady - Hear Me Tonight,77,0.72,126.041,Dance/Electronic
Gigi D'Agostino,L'Amour Toujours,1,0.617,139.066,pop
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,56,0.745,129.962,pop
Bomfunk MC's,Freestyler,55,0.822,163.826,pop
Sting,Desert Rose,62,0.586,111.989,"rock, pop"
Melanie C,Never Be The Same Again,61,0.689,160.067,"pop, Dance/Electronic"
Aaliyah,Try Again,53,0.797,93.02,"hip hop, pop, R&B"
Anastacia,I'm Outta Love - Radio Edit,64,0.761,119.41,pop
Alice Deejay,Better Off Alone,73,0.671,136.953,pop
Gigi D'Agostino,The Riddle,64,0.74,127.002,pop
Dr. Dre,The Next Episode,82,0.922,95.295,hip hop
Linkin Park,In the End,83,0.556,105.143,"rock, metal"
Tom Jones,Sexbomb,65,0.801,122.979,"rock, Folk/Acoustic, easy listening"
Sonique,It Feels So Good,62,0.634,135.012,pop
M.O.P.,Cold as Ice,54,0.656,85.565,hip hop
Melanie C,I Turn To You,54,0.522,135.205,"pop, Dance/Electronic"
Limp Bizkit,Take A Look Around,72,0.425,101.968,metal
Darude,Sandstorm,69,0.528,136.065,"pop, Dance/Electronic"
Da Brat,What'chu Like (feat. Tyrese),53,0.879,99.974,"hip hop, pop, R&B"
Moloko,The Time Is Now,54,0.682,127.962,"pop, Dance/Electronic"
Chicane,Don't Give Up,47,0.644,132.017,Dance/Electronic
DMX,Party Up,71,0.51,201.936,"hip hop, pop"
Debelah Morgan,Dance with Me,49,0.85,115.005,"pop, R&B"
Madonna,Music,58,0.736,119.854,pop
Ruff Endz,No More,52,0.839,97.004,R&B
Britney Spears,Born to Make You Happy,58,0.633,84.11,pop
Montell Jordan,Get It On Tonite,59,0.813,99.008,"hip hop, pop, R&B"
Kylie Minogue,Spinning Around,55,0.761,120.043,"pop, Dance/Electronic"
JAY-Z,Big Pimpin',69,0.88,138.083,hip hop
LeAnn Rimes,I Need You,61,0.478,144.705,"pop, country"
Avant,Separated,55,0.798,108.241,"pop, R&B"
Enrique Iglesias,Be With You,54,0.683,121.996,"pop, latin"
Toni Braxton,He Wasn't Man Enough,66,0.739,88.009,"pop, R&B"
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,36,0.852,72.016,"hip hop, pop, R&B"
Dr. Dre,Forgot About Dre,79,0.924,133.974,hip hop
Missy Elliott,Hot Boyz,49,0.727,81.125,"hip hop, pop, R&B"
Backstreet Boys,Show Me the Meaning of Being Lonely,68,0.63,167.998,pop
Samantha Mumba,Gotta Tell You,43,0.729,109.981,pop
Mýa,Case Of The Ex (Whatcha Gonna Do),59,0.772,98,"pop, R&B"
Mary Mary,Shackles (Praise You),64,0.779,100.46,R&B
Next,Wifey,52,0.829,99.581,"hip hop, pop, R&B"
Janet Jackson,Doesn't Really Matter,47,0.771,99.316,"pop, R&B"
Ricky Martin,She Bangs - English Version,60,0.63,143.866,"pop, latin"
Jagged Edge,He Can't Love U,55,0.721,126.279,"hip hop, pop, R&B"
Sisqo,Incomplete,60,0.746,119.311,"hip hop, pop, R&B"
JAY-Z,I Just Wanna Love U (Give It 2 Me),59,0.8,98.631,hip hop
Mariah Carey,Thank God I Found You (feat. Joe & 98°),59,0.348,129.297,"pop, R&B"
Baha Men,Who Let The Dogs Out,65,0.869,129.221,R&B
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",63,0.854,103.032,"pop, R&B"
